FRIO - LEADS - Petroleo	Publico Abierto x Intereses	Petroleo	13272	195	17610	5
FRIO - LEADS - Petroleo	ADSET - Petroleo - Lookalike Leads Calificados	Petroleo	10025	134	17512	5
FRIO - LEADS - Petroleo	Alimentación - Publico Similar Historical Qualified Leads	Alimentación	9558	106	21310	8
FRIO - LEADS - Petroleo	ADSET - Petroleo - Lookalike Leads Calificados	AD - Petroleo - Video	11196	95	19146	2
FRIO - LEADS - Petroleo	ADSET - Petroleo - Lookalike Leads Calificados	AD - Petroleo - Imagen	869	7	1961	0
